Pozicija;Dalyvis;Metai;Distancija;Laikas
174;Romas Kiršys;2012;42;3:49:22
175;Bartas Mikaila;2012;42;3:49:35
176;Žygimantas Stankevičius;2012;42;3:49:44
177;Jonas Kabelka;2012;42;3:49:46
178;Genadijus Makuševas;2012;42;3:49:49
179;Yury Budarin;2012;42;3:50:06
180;Edvardas Linkevičius;2012;42;3:50:09
181;Sigitas Baltruškevičius;2012;42;3:50:25
182;Rimantas Melnikas;2012;42;3:50:27
183;Kęstutis Lapienė;2012;42;3:50:36
184;Povilas Jocius;2012;42;3:51:03
185;Petras Vansevičius;2012;42;3:51:19
186;Leonardas Pobedonoscevas;2012;42;3:51:39
187;Petr Hrcek;2012;42;3:51:43
188;Rene Lintrup Jorgensen;2012;42;3:52:01
189;Karolis Merkys;2012;42;3:52:03
190;Marius Lanskoronskis;2012;42;3:52:05
191;Tomasz Wisniewski;2012;42;3:52:18
192;Antanas Navidauskas;2012;42;3:52:57
193;Laurynas Braškus;2012;42;3:53:48
194;Jurate Svarcaite;2012;42;3:53:49
195;Mangirdas Malinauskas;2012;42;3:54:02
196;Mindaugas Beišys;2012;42;3:54:14
197;Wilhelm Braunsteiner;2012;42;3:54:25
198;Vladimir Sedov;2012;42;3:54:30
199;Antonio Grotto;2012;42;3:54:57
200;Vincenzo Della monica;2012;42;3:55:04
201;Martynas Slapšys;2012;42;3:55:11
202;Renata Šalnienė;2012;42;3:55:45
203;Rokas Latkauskas;2012;42;3:55:58
204;Gintaras Aleknavicius;2012;42;3:56:04
205;Darius Jasevičius;2012;42;3:56:13
206;Kęstutis Rukša;2012;42;3:56:21
207;Raimondas Budrys;2012;42;3:56:23
208;Winfried Gottschlich;2012;42;3:56:28
209;Johan Florez;2012;42;3:56:37
210;Ernestas Lapinskas;2012;42;3:56:38
211;Roman Botov;2012;42;3:56:40
212;Vilmatas Augutis;2012;42;3:56:49
213;Donatas Askoldavičius;2012;42;3:56:51
214;Michael Ellingsen;2012;42;3:57:00
215;Gintare Litvinaviciene;2012;42;3:57:24
216;Krzysztof Roman;2012;42;3:57:24
217;Tomas Dirzininkas;2012;42;3:57:32
218;Robert Ellershaw;2012;42;3:57:39
219;Gediminas Gerulaitis;2012;42;3:57:42
220;Ivan Dvinel;2012;42;3:57:45
221;Ježi Vitalijus Micura;2012;42;3:57:46
222;Marius Katilius;2012;42;3:57:53
223;Kęstas Krincius;2012;42;3:57:57
224;Kęstas Mačiulaitis;2012;42;3:58:11
225;Paulius Avižinis;2012;42;3:58:19
226;Jonas Jurjonas;2012;42;3:58:28
227;Artūras Gelžinis;2012;42;3:58:32
228;Giedrius Vanagas;2012;42;3:58:38
229;Ivan Bulyga;2012;42;3:58:38
230;Kristupas Krivickas;2012;42;3:58:41
231;Jürgen Penthor;2012;42;3:58:49
