Pozicija;Dalyvis;Metai;Distancija;Laikas
109;Rimantas Butkevičius;2010;42;3:55:45
109;Rolandas Pauža;2010;4.2;12:20:26
110;Peter Dennett;2010;42;3:55:46
110;Domantas Galkauskas;2010;4.2;12:20:26
111;Gediminas Mažeika;2010;42;3:55:47
111;Paulius Steponavičius;2010;4.2;12:20:27
112;Peter Groen;2010;42;3:56:16
112;Rytas Šalna;2010;4.2;12:20:28
113;Alvidas Urniežius;2010;42;3:56:48
113;Daumantas Katilius;2010;4.2;12:20:28
114;Žilvinas Paškevičius;2010;42;3:57:30
114;Andrius Butautas;2010;4.2;12:20:31
115;Bent Baisgaard;2010;42;3:57:44
115;Miroslav Zniščimskis;2010;4.2;12:20:33
116;Marcel Robert Hermanns;2010;42;3:58:13
116;Regimantas Šnipaitis;2010;4.2;12:20:34
117;van Waterschoot Walter;2010;42;3:58:32
117;Arūnas Jurčiukonis;2010;4.2;12:20:35
118;Darius Daunoravičius;2010;42;3:58:54
118;Šarūnė Urvikytė;2010;4.2;12:20:38
119;Rimantas Juozas Vaicenavičius;2010;42;3:59:05
119;Rasa Bertašiutė;2010;4.2;12:20:39
120;Jorma Kurittu;2010;42;3:59:08
120;Paulius Berezuckis;2010;4.2;12:20:40
121;Ričardas Liubauskas;2010;42;3:59:09
121;Anželika Urbonienė;2010;4.2;12:20:40
122;Gediminas Kinderis;2010;42;3:59:10
122;Povilas Kucevičius;2010;4.2;12:20:44
123;Saulius Čalkevičius;2010;42;3:59:11
123;Michailas Molis;2010;4.2;12:20:48
124;Marek Duduś;2010;42;3:59:23
124;Mindaugas Beleckas;2010;4.2;12:20:48
125;Jurgis Petkus;2010;42;3:59:30
125;Vaidas Karpavičius;2010;4.2;12:20:48
126;Rūta Gaižulytė;2010;42;3:59:34
126;Artūras Žukomskas;2010;4.2;12:20:49
127;Martynas Undraitis;2010;42;3:59:42
127;Inga Poškutė;2010;4.2;12:20:49
128;Vidmantas Ložys;2010;42;3:59:58
128;Aurelijus Gutauskas;2010;4.2;12:20:50
129;Kęstutis Naujokaitis;2010;42;3:59:59
129;Žygimantas Zaleckas;2010;4.2;12:20:50
130;Karolis Stiga;2010;42;4:00:16
130;Arthur Wijnands;2010;4.2;12:20:51
131;Povilas Ramoška;2010;42;4:00:18
131;Laimis Milkūnas;2010;4.2;12:20:54
132;Aleksandras Bulyga;2010;42;4:01:35
132;Artūras Cicėnas;2010;4.2;12:20:55
133;Pouline Smith Hjortkaer Wagtberg;2010;42;4:03:46
133;Mindaugas Repčys;2010;4.2;12:20:55
134;Arvydas Jurgelevičius;2010;42;4:03:48
134;Mantas Jodinskas;2010;4.2;12:20:56
135;Marius Tumavičius;2010;42;4:03:51
135;Antanas Šimkus;2010;4.2;12:20:56
136;Pavel Kovalevich;2010;42;4:04:18
136;Karolis Revuckas;2010;4.2;12:20:57
137;Marijus Kasteckas;2010;42;4:04:26
137;Justas Krasuckis;2010;4.2;12:20:57
138;Oleg Romanovskij;2010;42;4:04:59
138;Gediminas Bajoriunas;2010;4.2;12:20:59
139;Marius Turulis;2010;42;4:05:08
139;Rokas Urbonavičius;2010;4.2;12:21:00
140;Mantas Kvakšys;2010;42;4:05:27
140;Ramunė Varnaitė;2010;4.2;12:21:01
141;Adolfas Križinauskas;2010;42;4:06:10
141;Lukas Jovaiša;2010;4.2;12:21:04
142;Algimantas Balčius;2010;42;4:06:10
142;Giedrius Voveris;2010;4.2;12:21:04
143;Darius Dzimidas;2010;42;4:06:56
143;Jolita Kurtinaitienė;2010;4.2;12:21:05
144;Radoslaw Wypych;2010;42;4:06:57
144;Linas Lukošaitis;2010;4.2;12:21:06
145;Jonas Grincius;2010;42;4:07:15
145;Karolis Batuchtinas;2010;4.2;12:21:12
146;Šarūnas Liegus;2010;42;4:08:03
146;Indrė Jovaišienė;2010;4.2;12:21:12
147;Czarnota Kazimierz;2010;42;4:09:03
147;Šarūnas Grigas;2010;4.2;12:21:13
148;Nerijus Rusteika;2010;42;4:09:35
148;Eglė Vasiliauskaitė;2010;4.2;12:21:13
149;Gedeminas Dovydaitis;2010;42;4:09:48
149;Eimantas Matulaitis;2010;4.2;12:21:14
150;Kęstutis Kasakaitis;2010;42;4:10:07
150;Saulius Svaldenis;2010;4.2;12:21:14
151;Kornelija Dusevičienė;2010;42;4:10:16
151;Martynas Kazlauskas;2010;4.2;12:21:14
152;Vaidotas Zemlys;2010;42;4:10:39
152;Edmundas Sirmaitis;2010;4.2;12:21:16
153;RIMANTAS JARMALAVIČIUS;2010;42;4:10:56
153;Rokas Petrašiūnas;2010;4.2;12:21:17
154;Ivan Bulyga;2010;42;4:10:55
154;Laura Šetkutė;2010;4.2;12:21:18
155;Paulius Šulga;2010;42;4:10:59
155;Julius Morkūnas;2010;4.2;12:21:18
156;Eva Bangsgaard;2010;42;4:11:31
156;Justas Kelpša;2010;4.2;12:21:19
157;Jurij Dorofejev;2010;42;4:11:56
157;Jolita Kurtinaitienė;2010;4.2;12:21:21
158;Friedrich Hagemann;2010;42;4:12:02
158;Aurimas Maldūnas;2010;4.2;12:21:21
159;Genadijus Makuševas;2010;42;4:13:42
159;Dangis Kriščiūnas;2010;4.2;12:21:25
160;ROBERT GROJZDEK;2010;42;4:14:21
160;Birutė Striūkienė;2010;4.2;12:21:26
161;Edgars Cērps;2010;42;4:14:34
161;Arūnas Baltrūnas;2010;4.2;12:21:30
162;Jūratė Strumskytė-Razgūnė;2010;42;4:15:11
162;Pijus Aleksandravičius;2010;4.2;12:21:32
163;Jan Knapik;2010;42;4:15:14
163;Eimantas Snicorius;2010;4.2;12:21:32
164;Ivan Dvinel;2010;42;4:16:39
164;Mindaugas Lukošius;2010;4.2;12:21:34
165;Vytautas Čiuplys;2010;42;4:17:10
165;Dainius Mockevicius;2010;4.2;12:21:35
166;Vladas Tarasevicius;2010;42;4:17:34
166;Živilė Anušauskaitė;2010;4.2;12:21:35
167;Janus Vittrup Grauslund;2010;42;4:19:08
167;Titas Grabauskas;2010;4.2;12:21:36
168;Karen Hamber;2010;42;4:19:12
168;Kasparas Karklys;2010;4.2;12:21:36
169;Victor Hutchins;2010;42;4:19:43
169;Valdemar Markovski;2010;4.2;12:21:43
170;Dmitrij Laško;2010;42;4:19:44
170;Darius Verbyla;2010;4.2;12:21:47
171;Povilas Grigas;2010;42;4:19:53
171;Kristina Čerkesaitė;2010;4.2;12:21:49
172;Danguolė Bičkūnienė;2010;42;4:20:13
172;Kęstutis Ulinskas;2010;4.2;12:21:50
173;Pranas Švedas;2010;42;4:20:30
173;Rimantas Bendžius;2010;4.2;12:21:50
174;Gediminas Misius;2010;42;4:20:58
174;Augustinas Pajeda;2010;4.2;12:21:51
175;Giedrius Baltranas;2010;42;4:21:22
175;Renata Šlenienė;2010;4.2;12:21:51
176;Tomas Sitnikas;2010;42;4:21:28
176;Greta Segenytė;2010;4.2;12:21:54
177;Markku Kotoaro;2010;42;4:21:49
177;Ieva Januškevičiūtė;2010;4.2;12:21:55
178;Tadas Varanavičius;2010;42;4:22:17
178;Rimantas Černiauskas;2010;4.2;12:21:55
179;Julijonas Skersys;2010;42;4:22:25
179;Ieva Žukaitė;2010;4.2;12:21:57
180;Reinhold Lopatka;2010;42;4:23:00
180;Raimonda Kirpliukaitė;2010;4.2;12:22:00
181;Egidijus Laskovas;2010;42;4:23:39
181;Marius Grigalionis;2010;4.2;12:22:00
182;Jens-Chr. Møller;2010;42;4:24:28
182;Nedas Jokubauskas;2010;4.2;12:22:01
183;Waldemar Hyps;2010;42;4:24:32
183;Rokas Galkauskas;2010;4.2;12:22:01
184;Darius Jurgaitis;2010;42;4:24:42
184;Vigintas  Buzius;2010;4.2;12:22:02
185;Algimantas Kartočius;2010;42;4:24:42
185;Jonas Ramelis;2010;4.2;12:22:03
186;Piotr Biedunkiewicz;2010;42;4:25:36
186;Juozas Mačys;2010;4.2;12:22:05
187;Robertas Andžejevskis;2010;42;4:25:46
187;Tomas Jonuška;2010;4.2;12:22:06
188;Paul Nielsen;2010;42;4:25:52
188;Gabrielė Anušauskaitė;2010;4.2;12:22:07
189;Kestas Krincius;2010;42;4:26:06
189;Jelena Nosareva;2010;4.2;12:22:07
190;Baranowski Waldemar;2010;42;4:26:10
190;Erikas Poška;2010;4.2;12:22:07
191;Anna Halemann;2010;42;4:26:27
191;Stasys Kvietkauskas;2010;4.2;12:22:08
192;Marius Kancevičius;2010;42;4:27:18
192;Ričardas Peldžius;2010;4.2;12:22:09
193;Kęstutis Vencas;2010;42;4:27:58
193;Tomas Juknevičius;2010;4.2;12:22:10
194;Vygantas Naujokas;2010;42;4:27:58
194;Gediminas Davidonis;2010;4.2;12:22:10
195;Rokas Kontvainis;2010;42;4:28:26
195;Robertas Kalvaitis;2010;4.2;12:22:11
196;Aleksandr Selivanov;2010;42;4:28:39
196;Živilė Mačytė-Čiučelienė;2010;4.2;12:22:12
197;Andrius Kuprys;2010;42;4:28:44
197;Agnė Ganytė;2010;4.2;12:22:13
198;Jonas Gražys;2010;42;4:29:49
198;Laura Malkevičiūtė;2010;4.2;12:22:13
199;Aidas Čergelis;2010;42;4:29:49
199;Algirdas Tomas Parvlis;2010;4.2;12:22:14
200;Arnas Gataveckas;2010;42;4:30:00
200;Lukas Drėgva;2010;4.2;12:22:16
201;Sean McMonagle;2010;42;4:30:04
201;Andrius Žukas;2010;4.2;12:22:16
202;Piotr Tyczynski;2010;42;4:31:53
202;Arnoldas Silius;2010;4.2;12:22:17
203;Zygmunt Zapadka;2010;42;4:32:12
203;Evaldas Spiečius;2010;4.2;12:22:17
204;Jan Michael Andersen;2010;42;4:32:14
204;Aurimas Barkauskas;2010;4.2;12:22:18
205;Vladimiras Oleinikovas;2010;42;4:32:36
205;Aušra Rauckytė;2010;4.2;12:22:18
206;Elo Engelund;2010;42;4:33:27
206;Viktoras Ručinskas;2010;4.2;12:22:18
207;Arvydas Ruzgas;2010;42;4:33:44
207;Rita Raziūnaitė;2010;4.2;12:22:19
208;Mėčys Vaičiulis;2010;42;4:33:47
208;Gediminas Legas;2010;4.2;12:22:19
209;Romualdas Stasytis;2010;42;4:34:49
209;Vilma Sauliutė;2010;4.2;12:22:20
210;Jurgis Lejins;2010;42;4:35:21
210;Kornelija Dagytė;2010;4.2;12:22:23
211;Malgorzata Siebert;2010;42;4:35:51
211;Arūnas Ziukas;2010;4.2;12:22:24
212;Krzysztof Siebert;2010;42;4:35:51
212;Judita Jankauskaitė;2010;4.2;12:22:25
